SO2,NO2,O3,CO,PM10,PM2.5,Status,
0.005,0.071,0.005,1.3,68,62,1,
0.006,0.073,0.006,1.2,73,68,1,
0.007,0.071,0.007,1.1,75,70,1,
0.007,0.073,0.006,1.1,83,76,1,
0.008,0.067,0.007,1,81,74,1,
0.007,0.069,0.005,1,75,66,1,
0.006,0.063,0.008,0.8,81,71,1,
0.006,0.066,0.006,0.8,78,65,1,
0.006,0.063,0.006,0.8,83,70,1,
0.005,0.062,0.006,0.8,78,64,1,
0.005,0.043,0.02,0.6,80,65,1,
0.005,0.042,0.021,0.6,76,59,1,
0.004,0.035,0.028,0.5,75,55,1,
0.004,0.023,0.037,0.4,60,44,1,
0.003,0.015,0.043,0.4,61,36,1,
0.003,0.015,0.036,0.6,58,37,1,
0.003,0.012,0.031,0.9,86,77,1,
0.003,0.008,0.03,0.6,47,44,1,
0.003,0.009,0.031,0.3,59,21,1,
0.003,0.009,0.03,0.3,113,15,1,
0.003,0.009,0.03,0.2,165,16,1,
0.003,0.012,0.027,0.3,177,13,1,
0.003,0.012,0.027,0.3,167,13,1,
0.003,0.01,0.029,0.3,177,13,1,
0.003,0.01,0.029,0.3,184,16,1,
0.004,0.011,0.029,0.3,168,16,1,
0.003,0.011,0.03,0.3,154,13,1,
0.004,0.011,0.032,0.3,129,12,1,
0.003,0.013,0.031,0.3,101,14,1,
0.003,0.012,0.033,0.3,80,10,1,
0.003,0.014,0.031,0.3,67,8,1,
0.003,0.015,0.03,0.3,55,9,1,
0.003,0.027,0.019,0.3,47,8,1,
0.003,0.025,0.019,0.4,36,5,1,
0.003,0.018,0.024,0.3,27,4,1,
0.003,0.022,0.02,0.3,26,5,1,
0.003,0.026,0.016,0.4,28,8,1,
0.003,0.021,0.02,0.4,29,8,1,
0.003,0.016,0.022,0.4,29,10,1,
0.003,0.016,0.021,0.4,27,10,1,
0.003,0.022,0.019,0.4,25,9,1,
0.003,0.016,0.023,0.3,25,7,1,
0.003,0.024,0.015,0.4,28,7,1,
0.003,0.028,0.012,0.4,29,10,1,
0.003,0.035,0.006,0.5,29,10,1,
0.003,0.042,0.002,0.6,29,12,1,
0.003,0.038,0.007,0.6,31,12,1,
0.003,0.03,0.013,0.5,28,11,1,
0.003,0.025,0.019,0.4,32,11,1,
0.004,0.026,0.019,0.4,35,13,1,
0.003,0.024,0.023,0.4,33,10,1,
0.003,0.027,0.022,0.4,28,9,1,
0.003,0.03,0.019,0.4,24,11,1,
0.004,0.034,0.016,0.4,28,12,1,
0.003,0.03,0.02,0.3,19,6,1,
0.003,0.042,0.009,0.4,21,7,1,
0.004,0.053,0.002,0.5,24,9,1,
0.004,0.06,0.002,0.7,23,9,1,
0.004,0.062,0.002,0.8,28,13,1,
0.004,0.062,0.002,0.9,30,12,1,
0.003,0.059,0.002,0.7,30,14,1,
0.004,0.06,0.002,0.9,29,15,1,
0.004,0.059,0.002,0.8,28,17,1,
0.004,0.059,0.002,0.9,29,16,1,
0.004,0.053,0.002,0.8,30,20,1,
0.004,0.052,0.002,0.9,28,17,1,
0.003,0.049,0.002,0.8,29,18,1,
0.004,0.048,0.002,0.8,25,14,1,
0.004,0.05,0.002,0.8,27,16,1,
0.003,0.044,0.002,0.6,26,15,1,
0.004,0.052,0.002,0.9,26,17,1,
0.004,0.044,0.004,0.8,29,20,1,
0.003,0.033,0.013,0.5,27,17,1,
0.003,0.033,0.013,0.6,23,12,1,
0.003,0.036,0.01,0.6,24,15,1,
0.002,0.037,0.009,0.6,25,15,1,
0.003,0.034,0.007,0.5,22,14,1,
0.002,0.04,0.004,0.6,20,15,1,
0.003,0.048,0.003,0.7,21,16,1,
0.003,0.047,0.002,0.7,23,18,1,
0.002,0.046,0.002,0.7,22,16,1,
0.003,0.043,0.002,0.8,21,16,1,
0.001,0.031,0.005,0.6,19,14,1,
0.002,0.021,0.017,0.4,15,11,1,
0.002,0.016,0.023,0.3,13,10,1,
0.002,0.013,0.023,0.4,17,13,1,
0.003,0.015,0.021,0.6,33,22,1,
0.003,0.015,0.024,0.5,42,26,1,
0.002,0.012,0.027,0.4,32,22,1,
0.003,0.012,0.024,0.6,50,41,1,
0.002,0.013,0.023,0.7,88,80,1,
0.003,0.014,0.022,0.6,85,78,1,
0.003,0.014,0.023,0.6,86,77,1,
0.003,0.014,0.025,0.6,79,71,1,
0.003,0.014,0.026,0.5,74,66,1,
0.003,0.011,0.03,0.4,47,41,1,
0.004,0.01,0.033,0.3,35,30,1,
0.004,0.008,0.035,0.3,36,28,1,
0.004,0.009,0.038,0.4,38,29,1,
0.004,0.009,0.039,0.4,37,26,1,
0.004,0.012,0.039,0.4,37,32,1,
0.004,0.017,0.035,0.4,35,29,1,
0.004,0.015,0.036,0.3,32,26,1,
0.004,0.017,0.034,0.4,34,25,1,
0.003,0.017,0.032,0.4,32,23,1,
0.003,0.016,0.031,0.3,27,17,1,
0.003,0.019,0.027,0.4,23,15,1,
0.003,0.023,0.023,0.5,26,15,1,
0.003,0.021,0.023,0.4,25,16,1,
0.003,0.019,0.024,0.4,23,14,1,
0.003,0.019,0.024,0.4,20,12,1,
0.003,0.018,0.024,0.4,21,11,1,
0.003,0.023,0.019,0.4,19,12,1,
0.003,0.015,0.025,0.4,21,12,1,
0.003,0.035,0.008,0.5,24,14,1,
0.003,0.036,0.006,0.6,28,19,1,
0.002,0.043,0.003,0.6,30,22,1,
0.003,0.048,0.002,0.8,30,21,1,
0.003,0.051,0.003,0.9,31,21,1,
0.003,0.053,0.005,1,33,23,1,
0.004,0.055,0.006,0.1,41,31,1,
0.004,0.041,0.014,0.7,40,30,1,
0.004,0.035,0.017,0.5,28,24,1,
0.004,0.039,0.016,0.6,42,28,1,
0.004,0.033,0.019,0.5,28,19,1,
0.003,0.034,0.02,0.4,25,18,1,
0.003,0.036,0.018,0.4,24,19,1,
0.003,0.04,0.014,0.5,22,17,1,
0.003,0.044,0.01,0.4,21,16,1,
0.003,0.046,0.007,0.5,22,15,1,
0.004,0.043,0.008,0.5,24,17,1,
0.004,0.049,0.005,0.7,22,16,1,
